title,link,price,seller,condition,site_code,preco,avaliacao_media,ratio_5_to_1,estrelas_5,estrelas_1
Título não encontrado,https://www.mercadolivre.com.br/refil-recarga-cartucho-667-667xl-compativel-impressora-hp-ink-advantage-2774-2700-com-manual-de-instrucoes-inkcor-com-passo-a-passo-em-video-e-snap-fill/p/MLB45423126#polycard_client=search-nordic&searchVariation=MLB45423126&wid=MLB3951054461&position=12&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.9,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-original-hp-964xl-de-alto-rendimento/p/MLB22298817#polycard_client=search-nordic&searchVariation=MLB22298817&wid=MLB3707067777&position=28&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,339,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-tinta-recarga-cartucho-compativel-impressora-hp-2874-2774-2700-2600-para-cartuchos-667-667xl-664-664xl-662-662xl-com-manual-de-instrucoes-e-snap-fill/p/MLB44953768#polycard_client=search-nordic&searchVariation=MLB44953768&wid=MLB5230147354&position=24&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-compativel-com-hp-82-c4912a-magenta/p/MLB21965682#polycard_client=search-nordic&searchVariation=MLB21965682&wid=MLB5326323538&position=19&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,78,3.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-recarga-cartucho-preto-com-100-ml-compativel-impressora-hp-2774-2874-2676-canon-mp3510-mp2410-tinta-corante-inkcor/p/MLB43923451#polycard_client=search-nordic&searchVariation=MLB43923451&wid=MLB5196206800&position=21&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,23,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-954xl-preto-425-ml/p/MLB36750739#polycard_client=search-nordic&searchVariation=MLB36750739&wid=MLB5269240948&position=8&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,399,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-inkcor-recarga-cartucho-compativel-impressoras-2874-2774-2676-2700-2600-2800-3516-3050-2050-cartuchos-667-664-662-901-60-92-667xl-664xl-662xl-74-21/p/MLB43919633#polycard_client=search-nordic&searchVariation=MLB43919633&wid=MLB5196203614&position=11&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.5,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-e-colorido/p/MLB39134548#polycard_client=search-nordic&searchVariation=MLB39134548&wid=MLB5157747842&position=43&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,159,4.6,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-1925514654-tinta-recarga-compativel-impressora-hp-cartucho-667xl-preto-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB1925514654&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,23,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9010-9020-magenta-3ja51al/p/MLB23137032#polycard_client=search-nordic&searchVariation=MLB23137032&wid=MLB5085328996&position=33&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,164,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-cartuchos-hp-964xl-preto-e-coloridos-originais/p/MLB22638338#polycard_client=search-nordic&searchVariation=MLB22638338&wid=MLB3931489439&position=31&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,849,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-954-jato-de-tinta-preto-l0s59ab/p/MLB36751401#polycard_client=search-nordic&searchVariation=MLB36751401&wid=MLB5271721524&position=37&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,239,4.9,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9020-9010-preto-3ja53al/p/MLB22270168#polycard_client=search-nordic&searchVariation=MLB22270168&wid=MLB3871421927&position=25&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,239,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-cartucho-de-tinta-cor-preto-do-3-ml/p/MLB36772709#polycard_client=search-nordic&searchVariation=MLB36772709&wid=MLB3776077827&position=38&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,183,0.0,0,0,0
