title,link,price,seller,condition,site_code,pagina,lote,index,preco,condicao,vendedor_nome,vendedor_avaliacao,total_avaliacoes,avaliacao_media,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1
Garrafa Térmica Em Aço Inox Com Termômetro Digital 500 Ml Cor Preto,https://www.mercadolivre.com.br/garrafa-termica-em-aco-inox-com-termmetro-digital-500-ml-cor-preto/p/MLB22357595?searchVariation=MLB22357595#polycard_client=search-nordic&searchVariation=MLB22357595&wid=MLB3793580333&position=21&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,1,1,35,"R$ 23,48",Novo  |  +1000 vendidos,Vendido porDXL COMERCIAL,MercadoLíder,109.0,4.7,89,11,5,2,2,81.65,10.09,4.59,1.83,1.83,44.5
Botijão Térmico Com Torneira 10l Arezzo - 7.1.170 Unitermi Cor Vermelho,https://www.mercadolivre.com.br/botijo-termico-com-torneira-10l-arezzo-71170-unitermi-cor-vermelho/p/MLB19764955?searchVariation=MLB19764955#polycard_client=search-nordic&searchVariation=MLB19764955&wid=MLB3885011739&position=22&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$13,02",Vendedor não especificado,Não especificado,MLB,1,1,36,"R$ 132,79",Novo  |  +1000 vendidos,Vendido porAQTEMTUDO,MercadoLíder Platinum,1.0,4.7,1,0,0,0,0,85.68,8.49,2.25,1.08,2.5,inf
Garrafão Térmico Grande Garrafa Botijão 3 Litros Quente Frio,https://produto.mercadolivre.com.br/MLB-4027317521-garrafo-termico-grande-garrafa-botijo-3-litros-quente-frio-_JM?searchVariation=187479334715#polycard_client=search-nordic&searchVariation=187479334715&position=48&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$2,86",Vendedor não especificado,Não especificado,MLB,1,1,37,"R$ 29,20",Novo  |  +5 vendidos,TERTEM,+5milVendas concluídas,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Garrafa Termica Conserva Quente Frio Fitness Academia 1,2l Cor Verde",https://www.mercadolivre.com.br/garrafa-termica-conserva-quente-frio-fitness-academia-12l-cor-verde/p/MLB28995092?searchVariation=MLB28995092#polycard_client=search-nordic&searchVariation=MLB28995092&wid=MLB3716641899&position=23&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$5,28",Vendedor não especificado,Não especificado,MLB,1,1,38,"R$ 53,90",Novo  |  +1000 vendidos,Vendido porCELLPHONE ACESSORIOS,MercadoLíder Gold,682.0,4.8,604,43,10,3,22,88.56,6.3,1.47,0.44,3.23,27.454545454545453
"Garrafa Térmica Vidro Lúmina 1,8l Para Café Ou Chá Termolar Cor Cinza",https://www.mercadolivre.com.br/garrafa-termica-vidro-lumina-18l-para-cafe-ou-cha-termolar-cor-cinza/p/MLB25205455?searchVariation=MLB25205455#polycard_client=search-nordic&searchVariation=MLB25205455&wid=MLB4036806675&position=24&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$10,67",Vendedor não especificado,Não especificado,MLB,1,1,39,"R$ 108,81",Novo  |  +1000 vendidos,Vendido porDistribuidora Galante,MercadoLíder Platinum,5.0,4.6,5,0,0,0,0,82.07,6.74,3.08,1.66,6.44,inf
Garrafa Térmica 1200ml Bebidas Quentes E Frias Adequado para utilização diária em casa Cor Cinza-escuro,https://www.mercadolivre.com.br/garrafa-termica-1200ml-bebidas-quentes-e-frias-adequado-para-utilizaco-diaria-em-casa-cor-cinza-escuro/p/MLB37800829?searchVariation=MLB37800829#polycard_client=search-nordic&searchVariation=MLB37800829&wid=MLB4024338535&position=25&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$5,88",Vendedor não especificado,Não especificado,MLB,1,1,40,"R$ 59,99",Novo  |  +1000 vendidos,Vendido porHJE202406,MercadoLíder Platinum,961.0,4.8,864,52,13,7,25,89.91,5.41,1.35,0.73,2.6,34.56
Garrafa De Mesa Termica Lumina Termolar 500ml Inox,https://www.mercadolivre.com.br/garrafa-de-mesa-termica-lumina-termolar-500ml-inox/p/MLB20536321?searchVariation=MLB20536321#polycard_client=search-nordic&searchVariation=MLB20536321&wid=MLB4623258106&position=26&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$7,44",Vendedor não especificado,Não especificado,MLB,1,1,41,"R$ 75,90",Novo  |  +5mil vendidos,Vendido porDistribuidora Galante,MercadoLíder Platinum,5.0,4.6,5,0,0,0,0,82.07,6.74,3.08,1.66,6.44,inf
Termo Soprano Exclusiva 1L preto y inoxidável,https://www.mercadolivre.com.br/termo-soprano-exclusiva-1l-preto-y-inoxidavel/p/MLB10249092?searchVariation=MLB10249092#polycard_client=search-nordic&searchVariation=MLB10249092&wid=MLB3943351223&position=27&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,em 5x R$33 sem juros,Vendedor não especificado,Não especificado,MLB,1,1,42,R$ 165,Novo  |  +1000 vendidos,Loja oficialJaú Pesca,MercadoLíder Platinum,882.0,4.7,766,51,18,7,40,86.85,5.78,2.04,0.79,4.54,19.15
Garrafa Térmica Inox Termômetro Visor Led Tampa Vácuo 500ml Cor Preto,https://www.mercadolivre.com.br/garrafa-termica-inox-termmetro-visor-led-tampa-vacuo-500ml-cor-preto/p/MLB21472812?searchVariation=MLB21472812#polycard_client=search-nordic&searchVariation=MLB21472812&wid=MLB3992299903&position=28&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,1,1,43,"R$ 17,11",Novo  |  +5mil vendidos,Vendido porFORCEFULL,Avaliação não disponível,351.0,4.5,258,50,14,10,19,73.5,14.25,3.99,2.85,5.41,13.578947368421053
Garrafa Térmica Esportiva - 800ml,https://produto.mercadolivre.com.br/MLB-5344417974-garrafa-termica-esportiva-800ml-_JM?searchVariation=183311465860#polycard_client=search-nordic&searchVariation=183311465860&position=49&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,1,1,44,R$ 50,Novo  |  1 vendido,GUNDIMCAROL,3Vendas concluídas,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
