index,title,preco,condicao,vendedor_nome,vendedor_avaliacao,avaliacao_media,total_avaliacoes,pagina,lote,site_code,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1,link
96,Garrafa Térmica 1l Marca Belakaza,"R$ 49,90",Novo,ANALUCIASILVAMAZER,+5Vendas concluídas,"0,0",,2,2,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-4036899261-garrafa-termica-1l-marca-belakaza-_JM?searchVariation=187576480455#polycard_client=search-nordic&searchVariation=187576480455&position=50&search_layout=grid&type=item&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163
97,Garrafa Térmica Rolha 650ml Para Café Chá Florença Unitermi Cor Vermelho,"R$ 32,53",Novo  |  +1000 vendidos,Loja oficialVillegas Center,MercadoLíder Platinum,"4,7","1,0",2,2,MLB,1,0,0,0,0,"85,4","6,5","3,2","1,3","3,6",inf,https://www.mercadolivre.com.br/garrafa-termica-rolha-650ml-para-cafe-cha-florenca-unitermi-cor-vermelho/p/MLB24995926?searchVariation=MLB24995926#polycard_client=search-nordic&searchVariation=MLB24995926&wid=MLB3380675863&position=33&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
98,Revolution Thermolar Thermomar Black 1 Lts 5 Anos Bentan,R$ 161,Novo  |  +100 vendidos,Vendido porBUSCASHOPCOMERCIO,MercadoLíder Platinum,"4,3","6,0",2,2,MLB,3,2,1,0,0,"50,0","33,3","16,7","0,0","0,0",inf,https://www.mercadolivre.com.br/revolution-thermolar-thermomar-black-1-lts-5-anos-bentan/p/MLB26901728?searchVariation=MLB26901728#polycard_client=search-nordic&searchVariation=MLB26901728&wid=MLB3972254199&position=16&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
99,Modus Garrafa Térmica Isolada A Vácuo De Aço Inoxidável 1700ml Cor Verde,"R$ 144,39",Novo  |  +1000 vendidos,Vendido porF Coleção Selecionada,Avaliação não disponível,"4,9","483,0",2,2,MLB,451,22,4,1,5,"93,4","4,5","0,8","0,2","1,0","90,2",https://www.mercadolivre.com.br/modus-garrafa-termica-isolada-a-vacuo-de-aco-inoxidavel-1700ml-cor-verde/p/MLB29542356?searchVariation=MLB29542356#polycard_client=search-nordic&searchVariation=MLB29542356&wid=MLB5060269946&position=22&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
100,Soprano Botijão Garrafão Térmico Aspen 12 Litros,"R$ 292,90",Novo  |  +100 vendidos,Vendido por123 TUDO,MercadoLíder Platinum,"4,9","27,0",2,2,MLB,25,2,0,0,0,"92,6","7,4","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/soprano-botijo-garrafo-termico-aspen-12-litros/p/MLB19723953?searchVariation=MLB19723953#polycard_client=search-nordic&searchVariation=MLB19723953&wid=MLB4706331674&position=36&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
101,Garrafa Térmica 1 Litro Com Termômetro Led Para Chás / Café,"R$ 53,06",Novo  |  +10mil vendidos,DARU20240421093708,+100milVendas concluídas,"4,5","5,0",3,3,MLB,4,1,0,0,0,"75,4","10,5","5,1","2,8","6,1",inf,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=J4t9RA9uxV1Xo2Jx3xfqidL%2BN6T6pbHgtr54IrY6mmG2YHoK7F4OGiOajWOFCEyqCJp4skzT8I7hmbv1Je8MKsaQ%2BVe%2FIHHhh2wZgfdwY2IxGTb5NUByoRJnCx67MPI%2BInuqN1ATnU1QpXOhB%2Fv2Bm7STUIEB7mNrwmSZRQ4y6dlL2a6JbFuF0tapxKtrsB2lICmBWmYYhX07%2BpYeRAXJ3Fzv4%2BE%2FxowWFJrZcEiaPfM3pjtZ2%2FS6XQLoifKYmO8b7n2WkZshSA4UoVQpUB0lSkcy3f6NAALbj2gqEx%2F%2Bz76YD8kMEFQ0%2B3SKHo29bAI5yA1KB4Ga2SiiywNO3vwOkwlLTtvMXNl29e4SAJfyBNONIhUscv1d%2F2NDJedgXNozPA6fnLAGFMdXJ8qpAv3cPpkoi6XbGyil%2BGCua6p86IhyvW5tkprp2JtMtcARNwdmSDcc6nPC8Wv88H2oDDrNtwWwVtI5StCKfeEgdF6zKpKmWBRDXFWAL%2F0rN0LImog%2Fkeuei76zv0FFN%2FtsygdkchUkORo0nfhtvu3Gvd%2F1%2Bu14r2WFF%2FBPaMkNCwQsoIg24SYPZez0Fo9Yt2S81rPIyzhViBP%2Bqg7jdy0v7iybYmXVcCFvP%2Fa9I05gKD71Y6PcepaCQigFH2TOxOXa80%2FcgAb98aAsETrFa2WZ%2BvNCPzVlqdybpiv95RDhXslSn1tkEPmI3NFC3wwEPTnF%2Fc7NoYMwFCV5hf3EyIJ5tVhDIQhQvA29Ihgn%2FaCNQb27KY3Mty%2FoUpXUwFIsddiFAcLTtpDjmLAti6p%2FArPoSgt%2BjwzjDBmJPRGPZ093GdlqylKPCQJjIEngSm4dRywAWykG91AwWYA%2FW0gqXWpX%2FTB2pig9AQB1hwyFQ%3D%3D&searchVariation=184022220277#polycard_client=search-nordic&tracking_id=a39c4707-ab27-49de-8496-c661b8de32f9
102,Garrafa Térmica Genérica 1l Com Termômetro E Led Café/chá,"R$ 48,85",Novo  |  +25 vendidos,CM20250219101741,+100Vendas concluídas,"0,0",,3,3,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=US0kjo%2B%2BWxJnuZTYAGdTpEdS674z92EuHNmbzwnQVUJbAvN1KgElYKYWkN%2FqgEoLDYhllT7XzUQmzEjJfzcHsAps%2BWytdpqNV1O3I3265Ru%2BFStCnzpEuhv8xGSud%2F3WG1j4Jjy8g9v6h2halxJp1s%2Fkf8CFYs4pEeigT5jIt2R2IOBVuVn2vlGcJGyyZSQypghRu6Cs1OH3bVH0AlXnbBfhPiHpEAQXm%2BTfm3Mo6TYubY2XAUMpNP8b34KeeqsqK5yDyoE0EW9l33jQ7Ws342ZVWqDD%2BVpGkF%2BvWRfp%2B5iB3ZSrwsDyIoJlPxEkdNVxk9y3ynHVfVNP6PzQVgYytRE1WO5AI%2FMgZ%2ByQFJjuweM5xnh0DAyYOmyRNyp7bEe8WeE0V2FCLClpvFl8yriIcpjKHVu%2F43WdJyFtAY26CgDQeqEh4vU%2Fu1ocroG%2F8LwO3%2BChi%2BRCJAVSchyJgkKmXWT%2FGETJIA0eRJqmSXm6deVD4cOq8u2Yn1583x4nowcBijto0N6lCt7CKv13yjwD%2B8UvWmHJbk2pyqdTI0uXfpNLl%2B8FYR29aBFxu%2FX0lQhY0d%2B%2FL0C5yxx7SjVNr%2B23Cwj78Jh7VFD4lZn6tMphGkiPhbntxROjcnHEM4s80RCWYR3ACdncd4cUeG53Jgs%2FA4sqaJCSQA225mymuvfXoZ7g%2BxJ4EtFbXdP%2FcOA7l1YvwecZIOTN2LcmMj%2Fb6DmMoqJVCaPBJTcz55UdnHPbNuftTgXh9vV9KcRuYLRiyHT0MaZZwhbrQ7NKdu%2BKsKLKt25%2Bb3m9HOsTNpQSyYDxF1a3VPmeCtEtNFzEuMCPG%2F8aE0OlO0zOiWXKmchkWORxZNTdqRsCtWFRx7Aalu5orJ0JDac83En0&searchVariation=187062495333#polycard_client=search-nordic&tracking_id=a39c4707-ab27-49de-8496-c661b8de32f9
103,Garrafa Térmica Farm Que Sede 500ml Original,R$ 149,Novo  |  +25 vendidos,TOP FASHION,+10milVendas concluídas,"5,0","1,0",3,3,MLB,1,0,0,0,0,"100,0","0,0","0,0","0,0","0,0",inf,https://produto.mercadolivre.com.br/MLB-4029589341-garrafa-termica-farm-que-sede-500ml-original-_JM?searchVariation=187502615931#polycard_client=search-nordic&searchVariation=187502615931&position=43&search_layout=grid&type=item&tracking_id=a39c4707-ab27-49de-8496-c661b8de32f9
104,Soprano Botijão Garrafão Térmico Aspen 12 Litros,"R$ 292,90",Novo  |  +100 vendidos,Vendido por123 TUDO,MercadoLíder Platinum,"4,9","27,0",3,3,MLB,25,2,0,0,0,"92,6","7,4","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/soprano-botijo-garrafo-termico-aspen-12-litros/p/MLB19723953?searchVariation=MLB19723953#polycard_client=search-nordic&searchVariation=MLB19723953&wid=MLB4706331674&position=15&search_layout=grid&type=product&tracking_id=a39c4707-ab27-49de-8496-c661b8de32f9&sid=search
105,Garrafa Térmica Inteligente Preto com mostrador de Temperatura 500 mL,"R$ 18,08",Novo  |  +10mil vendidos,Vendido porANDRELUIZFSOARES69,Avaliação não disponível,"4,4","1,0",3,3,MLB,1,0,0,0,0,"72,8","11,5","7,3","2,8","5,6",inf,https://www.mercadolivre.com.br/garrafa-termica-inteligente-preto-com-mostrador-de-temperatura-500-ml/p/MLB23811202?searchVariation=MLB23811202#polycard_client=search-nordic&searchVariation=MLB23811202&wid=MLB4038497753&position=26&search_layout=grid&type=product&tracking_id=a39c4707-ab27-49de-8496-c661b8de32f9&sid=search
