id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB39092873,Kit 2 Cartuchos Hp 664 Hp 2136 3636 3836 4536 4676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-hp-2136-3636-3836-4536-4676/p/MLB39092873#polycard_client=search-nordic&search_layout=grid&position=23&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5735105354&sid=search,"R$ 143,90",R$ 159,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751072,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4215448989&sid=search,"R$ 134,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB55040393,HP Advantage 664,https://www.mercadolivre.com.br/hp-advantage-664/p/MLB55040393#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4215260757&sid=search,"R$ 149,99",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Cartucho 667 Hp Preto Original  1275 2374  2376 2775  6476,https://www.mercadolivre.com.br/cartucho-667-hp-preto-original--1275-2374--2376-2775--6476/up/MLBU1444272577#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3389954163&sid=search,"R$ 64,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB48686774,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48686774#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5518037936&sid=search,"R$ 277,41",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39019456,Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3859516431&sid=search,"R$ 139,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB39881749,Kit Cartuchos De Tinta Colorida E Preta 664xl Para Impressor,https://www.mercadolivre.com.br/kit-cartuchos-de-tinta-colorida-e-preta-664xl-para-impressor/p/MLB39881749#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5537189928&sid=search,"R$ 379,36",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Kit Cartucho Original Hp 664 Preto + Color Deskjet 2676 3636,https://www.mercadolivre.com.br/kit-cartucho-original-hp-664-preto--color-deskjet-2676-3636/up/MLBU1974201120#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3197711071&sid=search,"R$ 164,99",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Kit 03 Cartucho Tinta Original Hp 664- 2 Preto / 1 Colorido,https://www.mercadolivre.com.br/kit-03-cartucho-tinta-original-hp-664-2-preto--1-colorido/up/MLBU1422626804#polycard_client=search-nordic&search_layout=grid&position=31&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB1888944944&sid=search,"R$ 254,90",N/A,,Tec Print,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU760727256#polycard_client=search-nordic&search_layout=grid&position=32&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3295841919&sid=search,"R$ 64,90",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
